feature,coefficient
themes__nature,-25.204588158602597
themes__nostalgia,-24.125329765332445
themes__heartbreak,18.905513320237862
themes__party / celebration,-18.699677969740364
themes__hope,14.940586341266648
themes__war or conflict,14.50581713464852
themes__empowerment,5.946809638579009
themes__love,-5.7389374356509615
themes__spirituality,-2.510536893093019
themes__loneliness,-1.9526936816024125
