#,Country,#.1,Artist,Song,Language,Place,Score,Eurovision Number,Year,Host Country,Host City,Lyrics,Lyrics translation,artist_norm,song_norm,danceability,energy,loudness,tempo
810,Iceland,13,Selma,All Out of Luck,English,2,146.0,44,1999,Israel,Jerusalem,"Don't work on a Sunday, don't sleep on a Monday
Just think of a fun day when your life is getting you down, yeah
To get through a heartache, just picture a spring day
And play in the bright daylight a while
So give it a chance - you won't regret it

'Cause you know today won't last forever, tomorrow has a brand new name
I'll give you all that I can offer, the rest is all up to you, yeah

You're all out of luck, if you wanna give up, you've got to let go of all your bad memories
Breakin' it up means bringing it down, you need to get right back on track
'Cause you're all out of luck, if you wanna give up, you've got to believe in yourself
You'll be fine 'cause you'll be mine, so just wake up before it's too late
And you're all out of love, you're all out of love
Hey yeah... hey yeah... oh yeah...

Don't work on a Sunday, don't sleep on a Monday
Tomorrow's a new day, all the time, just waiting for you, yeah
From dawn until midnight, or asleep in the moonlight
You'll always be all right just as long as you follow your heart, yeah

You're all out of luck, if you wanna give up, you've got to let go of all your bad memories
Breakin' it up means bringing it down, you need to get right back on track
'Cause you're all out of luck, if you wanna give up, you've got to believe in yourself
You'll be fine 'cause you'll be mine, so just wake up before it's too late
And you're all out of love, you're all out of love
(Hey yeah... hey yeah... oh yeah...)
You're all out of love
Hey yeah... hey yeah... oh yeah...",English,selma,all out of luck,0.585,0.878,-7.934,131.808
832,Iceland,14,August & Telma,Tell Me!,English,12,45.0,45,2000,Sweden,Stockholm,"With you in my life, it's destined to be right
And I know that it's true, girl, I was only made for you
So why don't we make the pieces fit and pack our bags tonight?
And go wherever love will take us, we'll make it all right

Tell me, tell me, tell me once, tell me twice
Tell me there is no compromise
We'll be together all the time
So say you will be mine

Ooh... with you by my side, I'm on a rollercoaster-ride
And I know that it's true - boy, I was only made for you
Listen to me now, you've got to give me a sign
'Cause I can't wait here any longer, make up your mind

Tell me, tell me, tell me once, tell me twice
Tell me there is no compromise
We'll be together all the time

Tell me, tell me, tell me once, tell me twice
Tell me there is no compromise
We'll be together all the time
So say you will be mine

If you only knew all that we could do
We'd be together all alone, you and me
Like we were always meant to be

Oh... I don't know if it's fact or fiction
But I'm sure we'll make the right decision
Look into my eyes now, baby, give it all you've got

Tell me, tell me, tell me once, tell me twice
Tell me there is no compromise
We'll be together all the time

Tell me, tell it to me once, tell me twice
Tell me there is no compromise
We'll be together all the time",English,august telma,tell me,0.49,0.878,-5.1110000000000015,145.476
947,Iceland,17,Jónsi,Heaven,English,19,16.0,49,2004,Turkey,Istanbul,"I still miss you and it makes me feel blue
And I'm lost without those colours of you
I can't think straight, I just wanna be
Wherever you are when you're not here with me

Blend with my blue, those colours of you
Please help me see it through, oh...
This journey I must take alone
So just blend your colours with my blue

I lay down and cry, and the rivers are dry
Oh... to unveil my heart when you kiss me goodbye
And when you set sail, fair winds all the way
So farewell, that's all I can say

Mmm... blend with my blue, the colours of you
Oh... please help me see it through, oh...
This journey I must take alone
Oh... so just blend your colours with my blue

And I know I'll find my love tonight
I can feel you reachin' out
I got this feeling deep inside
It's in my head, it's in my heart

I know your love tonight
And I know you'll be by my side
I know you'll help me to see it through
Oh... blend your colours with my blue",English,j nsi,heaven,0.494,0.44,-11.482,125.957
948,Ireland,38,Chris Doran,If My World Stopped Turning,English,22,7.0,49,2004,Turkey,Istanbul,"I could see my future
When I'm loking in your eyes
And I can sense security
Just by you being in my life

Little voice inside my head
Says you're an angel in disguise
Without you I feel hopeless
Without you I'm deprived

I wish I could describe it
All the love I feel inside
Maybe I can find the words
That would make you realize

My life seems near perfect
When I got you in my arms
That's when I feel wholesome
That's when I am with you

If my world stopped turning in the morning
And if God should take this all away
If it all should stop without a warning
I would still stand tall
'Cause behind it all
You're the one who's made a winner out of me

I lie alone to touch you
And it comes as a surprise
That we spend so long apart
Even more that I survived

If I could speak frankly
There's one thing I can say
That I'm falling for you, baby
Falling further every day

And if my world stopped turning in the morning
And if God should take this all away
If it all should stop without a warning
I would still stand tall
'Cause behind it all
You made me your winner

If my world stopped turning in the morning
And if God should take this all away
If it all should stop without a warning
I would still stand tall
'Cause behind it all
You're the one who's made a winner out of me",English,chris doran,if my world stopped turning,0.477,0.498,-7.952000000000001,147.988
972,Switzerland,46,Vanilla Ninja,Cool Vibes,English,8,128.0,50,2005,Ukraine,Kiev,"Don't want you to lead me to the dark
Don't need you to tear my heart apart
Don't do that, though people say that you're my enemy
I know you can set me free

Don't want you to come so close to me
Don't need you to blow my fantasy
But I know that you are livin' far beyond those lies
I can see the danger rise in your eyes

Cool vibes, why don't you kill me
Cool vibes, why don't you turn your eyes away
Can't you see we're free to die
Cool vibes, all we can do is fight and pray

Cool vibes, why don't you thrill me
Cool vibes, why don't you kill me
All that I can see are shadows of my destiny

Don't want you to make me feel afraid
Don't need you to take away the hate
But I know that you will break the seal of mystery
Leave it to my fantasy, what will be

Cool vibes, why don't you kill me
Cool vibes, why don't you turn your eyes away
Can't you see we're free to die
Cool vibes, all we can do is fight and pray

Cool vibes, why don't you thrill me
Cool vibes, why don't you kill me
All that I can see are shadows of my destiny

Stay close to me, infinity
Enigma's what we share
But I don't care
You'll be there

Cool vibes, why don't you kill me
Cool vibes, why don't you turn your eyes away
Can't you see we're free to die
Cool vibes, all we can do is fight and pray
(For some broken heroes)

Cool vibes, why don't you thrill me
Cool vibes, why don't you kill me
All that I can see are shadows of my destiny",English,vanilla ninja,cool vibes,0.619,0.6759999999999999,-6.3210000000000015,127.027
1063,Greece,28,Sarbel,Yassou Maria (Γειά σου Μαρία),English (title Greek),7,139.0,52,2007,Finland,Helsinki,"[Verse 1]
First off she's a lady
And this is a ladies' world
Man, she drives them crazy
Dancing like a cheeky girl
All eyes on Maria
No lies, she's the bomb
Oh my, they all wanna see her
All wanna be the lucky one

[Chorus]
Shake it up, shake it up, there you go
Oh oh, yassou Maria
Turn around, bring it down, go slow
Heads up, Lord, have mercy
Shake it up, shake it up, there you go
Oh oh, yassou Maria
Ay ay ay, there she goes... Maria
Yassou Maria

[Verse 2]
Moves like Aphrodite
So high above the rest
Smooth like Cleopatra
An angel in a devil's dress
Her hips, lust in motion
Her lips, red like wine
She is the heart of attention
Probably should mention
She's mine...

[Chorus]
Shake it up, shake it up, there you go
Oh oh, yassou Maria
Turn around, bring it down, go slow
Heads up, Lord, have mercy
Shake it up, shake it up, there you go
Oh oh, yassou Maria
Ay ay ay, there she goes... Maria

[Chorus]
Shake it up, shake it up, there you go
Oh oh, yassou Maria
Turn around, bring it down, go slow
Heads up, Lord, have mercy
Shake it up, shake it up, there you go
Oh oh, yassou Maria
Ay ay ay, there she goes... Maria

[Outro]
Maria, Maria
Yassou Maria
Maria, Maria",English,sarbel,yassou maria,0.5579999999999999,0.833,-5.2170000000000005,172.06900000000005
1087,Finland,42,Teräsbetoni,Missä miehet ratsastaa,Finnish,22,35.0,53,2008,Serbia,Belgrade,"Olkoon myrsky sekä viima
Ja tuvassa lämmin kamiina
On kunnia ja miehuullisuus
Suorittaa velvollisuus

Maailma on kylmä vaikka
On ehkä lämmölläkin paikka
Kentät kutsuu sankareita
Eikä suinkaan pelkureita

Missä miehet ratsastaa
Siellä lampaat ei voi laiduntaa
Missä miehet ratsastaa
Siellä kuulee susien ulvontaa
Missä miehet, missä miehet ratsastaa
Missä miehet, missä miehet ratsastaa

Olkoon edessä tuhoa
Ja takana lemmen lumoa
On miehellä velvollisuus
Muistaa urhoollisuus

Ei kukaan voi välttää kipua
Ja vain elämän virrassa lipua
Kentät kutsuu sankareita
Eikä suinkaan pelkureita","Huh – hah – huh – hah May the storm and chill exist
And in a cabin a stove so warm
There's honor and manlyhood
To do what must be done The world is cold regardless
Of the fact that warmth has it's place
Fields call out to heroes
Not cowards at all Chorus:
Where men ride
There no sheep can herd
Where men ride
There you can hear the wolves howling There may be destruction ahead
And the passion of love behind
A man has a duty
To remember bravery No one can avoid the pain
And just float in the stream of life
Fields call out to heroes
Not cowards at all Chorus Where men, where men ride
Where men, where men ride Chorus x2 Where men hah - huh - hah
Where men hah - huh - hah",ter sbetoni,miss miehet ratsastaa,0.584,0.966,-2.488,140.066
1091,Iceland,21,Euroband,This Is My Life,English,14,64.0,53,2008,Serbia,Belgrade,"I spent my days in vain just waiting
For happiness to come my way
I took for granted all they gave me
I opened my eyes, finally I realised

This is my life
I don't wanna change a thing
This is my life
All the pain, all the joy it brings

All through the years
Of blood, sweat and tears
Hopes and my fears
All that was meant to be
This is my life
What will be, will be

There's no denying all the heartaches
Mmm... were a blessing in disguise
Oh, if I never made a single mistake
Oh, I wouldn't be here, part of the plan I believe

This is my life
I don't wanna change a thing
This is my life
All the pain, all the joy it brings

All through the years
Of blood, sweat and tears
Hopes and my fears
All that was meant to be
This is my life
What will be, will be

I've found the key to set myself free
You'll be amazed
'Cause I have the power to change my ways
This is my life

This is my life
I don't wanna change a thing
This is my life
All the pain, all the joy it brings

All through the years
Of blood, sweat and tears
Hopes and my fears
All that was meant to be
This is my life
What will be

This is my life",English,euroband,this is my life,0.51,0.973,-4.876,137.84799999999998
1138,Norway,48,Alexander Rybak,Fairytale,English,1,387.0,54,2009,Russia,Moscow,"[Verse 1]
Years ago, when I was younger
I kinda liked a girl I knew
She was mine and we were sweethearts
That was then, but then it’s true

[Chorus 1]
I’m in love with a fairytale
Even though it hurts
’Cause I don’t care if I lose my mind
I’m already cursed

[Verse 2]
Every day, we started fighting
Every night, we fell in love
No one else could make me sadder
But no one else could lift me high above
I don’t know what I was doing
When suddenly, we fell apart
Nowadays, I cannot find her
But when I do, we’ll get a brand-new start

[Chorus 1]
I’m in love with a fairytale
Even though it hurts
’Cause I don’t care if I lose my mind
I’m already cursed

[Chorus 2]
She’s a fairytale, yeah
Even though it hurts
’Cause I don’t care if I lose my mind
I’m already cursed",English,alexander rybak,fairytale,0.586,0.714,-6.414,107.964
1150,Estonia,15,Urban Symphony,Rändajad,Estonian,6,129.0,54,2009,Russia,Moscow,"[Verse 1]
Kõrbekuumuses liiva
Lendab kui jääkülma lund
Öö peagi laotamas tiivad
Rändajaid saatma jääb tuul

[Chorus]
See on tee
Nad rändavad nii päevast päeva
See on tee
Nad rändavad siis ajast aega
See on tee
Ta nähtamatu rajana kulgeb
Nende ees
Ta ootab kui riskida julged

[Verse 2]
Külmunud hingi vaid saadab
Kuuvalgus varje neist loob
Päikesekiirena sooja
Hommik taas endaga toob

[Chorus]
See on tee
Nad rändavad nii päevast päeva
See on tee
Nad rändavad siis ajast aega
See on tee
Ta nähtamatu rajana kulgeb
Nende ees
Ta ootab kui riskida julged

Nad rändavad nii päevast päeva
Nad rändavad siis ajast aega
Ta nähtamatu rajana kulgeb
Ta ootab kui riskida julged

[Bridge]
Üle mägede taevasse kaigub hääl
...

[Chorus]
See on tee
Nad rändavad nii päevast päeva
See on tee
Nad rändavad siis ajast aega
See on tee
Ta nähtamatu rajana kulgeb
Nende ees
Ta ootab kui riskida julged

See on tee!","The nomads
In the desert heat the sand
Blows like ice-cold snow
The night soon unfurls its wings
Leaving nothing but the wind to escort the nomads It is the way
They wander from one day to the next
It is the way
They wander from one time to the next
It is the way
It weaves an invisible path
Before them
Waiting until you dare to take the risk It conveys only frozen souls
The moonlight makes shadows of them
Warmth in a ray of sunlight
Is what the morning brings once again It is the way
They wander from one day to the next
It is the way
They wander from one time to the next
It is the way
It weaves an invisible path
Before them
Waiting until you dare to take the risk They wander from one day to the next
They wander from one time to the next
It weaves an invisible path
It waits until you are ready to take the risk A voice echoes over the mountains up to the heavens It is the way
They wander from one day to the next
It is the way
They wander from one time to the next
It is the way
It weaves an invisible path
Before them
Waiting until you dare to take the risk
It is the way",urban symphony,r ndajad,0.6920000000000001,0.7140000000000001,-7.093,123.963
