#,Country,#.1,Artist,Song,Language,Place,Score,Eurovision Number,Year,Host Country,Host City,Lyrics,Lyrics translation,artist_norm,song_norm,danceability,energy,loudness,tempo
1173,Iceland,23,Hera Björk,Je ne sais quoi,English (French),19,41.0,55,2010,Norway,Oslo,"I am standing strong, I've overcome the sadness in my life
Now I look up and see the brightest sky above me
And it's reflecting in your eyes

Je ne sais quoi, I know you have a special something
Je ne sais quoi, oh, something I just can't explain
And when I see your face I wanna follow my emotions
Je ne sais pas, pourquoi?

When the clouds are gone the stars come out around us, shining
And all that we see is the love, our hearts aligned together
Tell me, do you feel the same?

Je ne sais quoi, I know you have a special something
Je ne sais quoi, oh, something I just can't explain
And when I see your face I wanna follow my emotions
Je ne sais pas, pourquoi?

I just love this crazy feeling
It's like I've known you all my life

Je ne sais quoi
Je ne sais quoi, I know you have a special something
Je ne sais quoi, oh, something I just can't explain
And when I see your face I wanna follow my emotions
Je ne sais pas, pourquoi?",English,hera bj rk,je ne sais quoi,0.529,0.861,-4.978,131.966
1209,Iceland,24,Sjonni's Friends,Coming Home,English,20,61.0,56,2011,Germany,Düsseldorf,"Some say I'm a bit of a fool
Sitting on a hill and counting raindrops
Keep thinking I just wanna go
To the peaceful place I know that I call home

But oh oh oh it's time to go
I'll see you, I'll see you soon

'Cause I can't wait for tomorrow
To say the things I wanna say
Your smile will always lead my way
I can't wait, I'm coming soon
I just wanna see your face again

Some say I'm a bit of a fool
Driving down the road I stop to listen
I hear your laughter in the trees
Your whisper in the breeze: ""My love is you""

But oh oh oh it's time to go
I'll see you, I'll see you soon

'Cause I can't wait for tomorrow
To say the things I wanna say
Your smile will always lead my way
I can't wait, I'm coming soon
I just wanna see your face again

'Cause no one knows his where or when
When my time on earth comes to an end
Then I'll find you
And I know that you will be my love again

I can't wait for tomorrow
To say the things I wanna say
Your smile will always lead my way
I can't wait, I'm coming soon
I just wanna see your face again

'Cause I can't wait for tomorrow
To say the things I wanna say
Your smile will always lead my way
I can't wait, I'm coming home to you
I just wanna see your face again
I'm coming home",English,sjonni s friends,coming home,0.634,0.6859999999999999,-6.816,91.806
1267,Sweden,52,Loreen,Euphoria,English,1,372.0,57,2012,Azerbaijan,Baku,"[Verse 1]
Why, why can’t this moment last forevermore?
Tonight, tonight eternity’s an open door
No, don’t ever stop doing the things you do
Don’t go, in every breath I take I’m breathing you

[Chorus]
Euphoria
Forever, till the end of time
From now on, only you and I
We’re going u-u-u-u-u-u-up
Euphoria
An everlasting piece of art
A beating love within my heart
We’re going u-u-u-u-u-u-up

[Verse 2]
We are here, we’re all alone in our own universe
We are free, where everything’s allowed and love comes first
Forever and ever together, we sail into infinity
We’re higher and higher and higher, we’re reaching for divinity

[Chorus]
Euphoria
Forever, till the end of time
From now on, only you and I
We’re going u-u-u-u-u-u-up
Euphoria
An everlasting piece of art
A beating love within my heart
We’re going u-u-u-u-u-u-up

[Interlude]
Forever, we sail into infinity
We’re higher, we’re reaching for divinity…

[Chorus]
Euphoria, euphoria
We’re going u-u-u-u-u-u-up
Euphoria...
An everlasting piece of art
A beating love within my heart
We’re going u-u-u-u-u-u-up
Euphoria, euphoria
We’re going u-u-u-u-u-u-up",English,loreen,euphoria,0.518,0.679,-5.4060000000000015,132.14600000000002
1290,Lithuania,14,Andrius Pojavis,Something,English,22,17.0,58,2013,Sweden,Malmö,"I have to tell you something
It’s been on my mind so long
I’ve got to tell you this
It’s been on my mind way too long
I promised myself to tell
Instead I’m falling apart to see you here

If you don’t know I’m in love with you
When summertime falls It becomes untrue
Because of my shoes I’m wearing today
One is called Love the other is Pain

So tell me now
I’m in your head I’m in your heart tell me now
Tell me now because I’m falling apart to see you here

If you don’t know I’m in love with you
When summertime falls It becomes untrue
Because of my shoes I’m wearing today
One is called Love, the other is Pain

But still you don’t know I’m in love with you
When summertime falls It becomes untrue
Because of my shoes I’m wearing today

One is called Love, the other is Pain
One is called Love, the other is Pain",English,andrius pojavis,something,0.534,0.738,-4.974,129.924
1292,Moldova,9,Aliona Moon,O mie,Romanian,11,71.0,58,2013,Sweden,Malmö,"O mie de-apusuri pierdute in mare, pierdute in noi
Pe gene o mie de raze de soare-aduceau dimineti pentru doi
O mie de stele arzînd căzătoare priviri ne-au furat
In ceruri o mie de nopți seculare s-au tot spulberat, noi am rezistat

Între soare si ploi
Se nasc mii de culori, dar noi vedem doar nori
Amintiri despre noi
Însirat-am pe foi, apoi le-am distrus amindoi

O mie de lacrimi nu-mi spală durerea de cînd te-am pierdut
De-o mie de nopți ma inghite tacerea, ea vrea sa te uit, imi cere prea mult
Nu cred ca este-n trecut, fiorul ce l-am avut
Vreau un nou inceput!

Credeam în dragostea ta, speram ca nu va seca
Credeam în visele mari, dar ai ales sa dispari
Credeam ca nu e-n trecut, fiorul ce l-am avut
Vreau un nou inceput!

Intre soare si ploi
Se nasc mii de culori, dar noi vedem doar noi
Amintiri despre noi
Insirat-am pe foi, apoi le-am distrus amindoi","A thousand sunsets lost in the sea, lost inside us,
On our eyelashes a thousand rays of sun would bring the morning light for the two of us
A thousand burning shooting stars had enchanted us,
Into the skies a thousand secular nights had vanished.
We had stayed strong. Chorus: (X2)
The sun and the rains give birth to a thousand colours
But all we can see are the clouds,
Memories of us that we had written together
But then destroyed. A thousand tears can’t wash away the suffering
I’ve been through since I lost you.
For a thousand nights I’ve fallen silent, silence wants me to forget you,
It asks too much of me,
I don’t think it belongs to the past, the thrill I felt,
I want a new beginning! Chorus (X2)
I believed in your love, I had hoped that it would not dry out,
I believed in great dreams, but you chose to go away,
I thought it didn’t belong to the past, the thrill I felt,
I want a new beginning. Chorus (X2)",aliona moon,o mie,0.621,0.718,-2.99,128.02
1293,Ireland,47,Ryan Dolan,Only Love Survives,English,26,5.0,58,2013,Sweden,Malmö,"All our lives
We’ve been afraid
Watching the world decline
Till nothing remains
But in our darkness hour
Right before the dawn
The old world dies
The new day is born

We’re gonna live like it’s our last night alive
And we’re dancing till the morning light
And even if the sun don’t rise
In the end only love survives
So be love
Be love
Just be love (just be love)
Only love (only love)
We are love (we are love)
Only love (only love)
And when the stars are aligned
You got to make love your state of
Mind ‘cause in the end
Only love survives
So let the world collide
Don’t be afraid
If it’s the end of time
Love will remain
To live like it’s the last night alive
And we’re dancing till the morning light
And even if the sun don’t rise
In the end only love survives

So be love
Be love
Just be love (just be love)
Only love (only love)
We are love (we are love)
Only love (only love)
And when the stars are aligned
You got to make love your state of mind
Cause in the end only love survives
So be love (be love)
Only love love love
So make love(be love)
Only love love love
Cause in the end only love survives",English,ryan dolan,only love survives,0.541,0.8340000000000001,-5.257999999999999,128.012
1385,Sweden,55,Måns Zelmerlöw,Heroes,English,1,365.0,60,2015,Austria,Vienna,"[Verse 1]
Don't tell the gods I left a mess
I can't undo what has been done
Let's run for cover
What if I'm the only hero left
You better fire off your gun, once and forever
He said go dry your eyes and live your life like there is no tomorrow, son
And tell the others to go sing it like a hummingbird
The greatest anthem ever heard

[Chorus 1]
We are the heroes of our time
But we're dancing with the demons in our minds
We are the heroes of our time
Hero-oh-o-o-oes. o-uh-o-o-oh
We're dancing with the demons in our minds
Hero-uh-o-o-o
O-oh-o-o-oh
We are the heroes of our time
Hero-oh-o-o-oes, o-uh-o-o-oh
We're dancing with the demons in our minds
Hero-oh-o-o-oes, o-uh-o-o-oh

[Verse 2]
The crickets sing a song for you
Don't say a word, don't make a sound
It's life's creation
I make worms turn into butterflies
Wake up and turn this world around in appreciation
He said I never left your side
When you were lost I followed right behind
Was your foundation
Now go sing it like a hummingbird
The greatest anthem ever heard

[Chorus 1]
We are the heroes of our time
Hero-uh-o-o-oes, o-uh-o-o-oh
We're dancing with the demons in our minds
Hero-oh-o-o-oes, o-uh-o-o-oh
(We keep dancing with the demons)
(You could be a hero)

[Bridge]
Now go sing it like a hummingbird
The greatest anthem ever heard
Now sing together

[Chorus 2]
We are the heroes of our time
(Hero-oh-o-o-oes. o-uh-o-o-oh)
But we're dancing with the demons in our minds
(Hero-oh-o-o-oes. o-uh-o-o-oh)
We are the heroes of our time
(We keep dancing with the demons)
(You could be a hero)
Hero-oh-o-o-oes. o-uh-o-o-oh
But we're dancing with the demons in our minds
(We keep dancing with the demons)
(You could be a hero)
Hero-oh-o-o-oes. o-uh-o-o-oh

[Outro]
We are the heroes",English,m ns zelmerl w,heroes,0.484,0.7909999999999999,-4.27,124.008
1405,Russia,20,Sergey Lazarev,You Are the Only One,English,3,491.0,61,2016,Sweden,Stockholm,"[Verse 1]
We can never let the word be unspoken
We will never let our loving go, come undone
Everything we had is staying unbroken, oh
You will always be the only one
You're the only one

[Pre-Chorus]
Won't ever give up cause you're still somewhere out there
Nothing or no one's gonna keep us apart
Breaking it down but I'm still getting nowhere
Won't stop, hold on

[Chorus]
Thunder and lightning, it's getting exciting
Lights up the skyline to show where you are
My love is rising, the story's unwinding
Together we'll make it and reach for the stars

You're the only one, you're my only one
You're my life, every breath that I take
Unforgettable, so unbelievable
You're the only one, my only one

[Verse 2]
I could have told you to slow down and stay down
I could have told you a secret, won't you keep it now?
Thinking of making a showdown when love is found
Thinking of waiting till you're around

[Pre-Chorus]
Won't ever give up cause you're still somewhere out there
Nothing or no one's gonna keep us apart
Breaking it down but I'm still getting nowhere
Won't stop, hold on

[Chorus]
Thunder and lightning, it's getting exciting
Lights up the skyline to show where you are
My love is rising, the story's unwinding
Together we'll make it and reach for the stars

You're the only one, you're my only one
You're my life, every breath that I take
Unforgettable, so unbelievable
You're the only one, my only one

[Bridge]
You're my only one

[Chorus]
Thunder… (and lightning)
(It's getting exciting) It's getting excitin
Lights up the skyline to show where you are
To show where you are…

( You're the only one) You're my only one
You're my life, every breath that I take
Unforgettable, so unbelievable
You're the only one, my only one",English,sergey lazarev,you are the only one,0.632,0.8909999999999999,-5.376,127.983
1447,Portugal,49,Salvador Sobral,Amar pelos dois,Portuguese,1,758.0,62,2017,Ukraine,Kiev,"[Letra de ""Amar pelos dois""]

[Verso 1]
Se um dia alguém perguntar por mim
Diz que vivi para te amar
Antes de ti só existi
Cansado e sem nada para dar

[Refrão]
Meu bem, ouve as minhas preces
Peço que regresses, que me voltes a querer
Eu sei que não se ama sozinho
Talvez devagarinho possas voltar a aprender

[Refrão]
Meu bem, ouve as minhas preces
Peço que regresses, que me voltes a querer
Eu sei que não se ama sozinho
Talvez devagarinho possas voltar a aprender

[Verso 2]
Se o teu coração não quiser ceder
Não sentir paixão, não quiser sofrer
Sem fazer planos do que virá depois
O meu coração pode amar pelos dois","If one day someone asks about me
Say that I lived just to love you
Before you, I only existed
Tired and without a thing to offer My dear, listen to my prayers
I ask you to come back, that you come back to love me
I know we can't love alone
Maybe little by little you can learn again My dear, listen to my prayers
I ask you to come back, that you come back to love me
I know we can't love alone
Maybe little by little you can learn again If your heart doesn't wish to do so
To feel the passion, If it doesn't want to suffer
Without making plans about what will happen
My Heart can love for the both of us",salvador sobral,amar pelos dois,0.21,0.0959,-17.767,175.91400000000004
1480,France,60,Alma,Requiem,French/English,12,135.0,62,2017,Ukraine,Kiev,"[Couplet 1]
Des amours meurent, des amours naissent
Les siècles passent et disparaissent
Ce que tu crois être la mort
C’est une saison et rien de plus
Un jour lassé de cette errance
Tu t’en iras, quelle importance
Car la terre tournera encore
Même quand nous ne tournerons plus

[Pre-Refrain]
Embrasse-moi, dis-moi que tu m’aimes
Fais-moi sourire au beau milieu d’un requiem
Embrasse-moi, dis-moi que tu m’aimes
Fais-moi danser jusqu’à ce que le temps nous reprenne

[Refrain]
Ce qu’il a donné
Will you take me to paradise?
With you nothing ever dies
You take my smile and make it bright
Before the night erase the light
I won’t go below silver skies
The only dark is in your eyes
On pleure mais on survit quand même
C’est la beauté du requiem

[Couplet 2]
Les étincelles deviennent des flammes
Les petites filles deviennent des femmes
Ce que tu crois être l’amour
C’est un brasier et rien de plus
Nos déchirures, nos déchéances
On pense qu’elles ont de l’importance
Mais demain renaîtra le jour
Comme si nous n’avions pas vécu

[Pre-Refrain]
Embrasse-moi, dis-moi que tu m’aimes
Fais-moi sourire au beau milieu d’un requiem
Embrasse-moi, dis-moi que tu m’aimes
Fais-moi danser jusqu’à ce que le temps nous reprenne

[Refrain]
Ce qu’il a donné
Will you take me to paradise?
With you nothing ever dies
You take my smile and make it bright
Before the night erase the light
I won’t go below silver skies
The only dark is in your eyes
On pleure mais on survit quand même
C’est la beauté du requiem

[Pont]
Des amours naissent, des amours meurent
Ce soir enfin je n’ai plus peur
Je sais que je t’aimerai encore
Quand la terre ne tournera plus
Des amours naissent, des amours meurent
Ce soir enfin je n’ai plus peur
Je sais que je t’aimerai encore
Quand la terre ne tournera plus

[Pre-Refrain]
Embrasse-moi, dis-moi que tu m’aimes
Fais-moi sourire au beau milieu d’un requiem
Embrasse-moi, dis-moi que tu m’aimes
Fais-moi danser jusqu’à ce que le temps nous reprenne

[Outro]
Ce qu’il a donné
Embrasse-moi, tell me that you love me
Embrasse-moi
Embrasse-moi, tell me that you love me
Embrasse-moi","Love dies, love is born
Centuries pass and disappear
What you believe to be dead
It's a season and nothing more One day tired of this wandering
You will go away, no matter
Because the world will still turn
Even when we won't turn anymore Kiss me, tell me that you love me
Make me smile right in the middle of a requiem
Kiss me, tell me that you love me
Make me dance until time takes back from us
What it had given Would you take me to paradise
With you nothing ever dies
You take my smile and make it bright
Before the night erases the light
I won't go below silver skies
The only darkness is in your eyes 
We cry but we still survive
It's the beauty of a requiem Sparks become flames
Little girls become women
What you believe to be love
It's a fire and nothing more Our heartbreaks, our declines
They're thought to be important
But tomorrow the day will be reborn
Like if we had not lived Kiss me, tell me that you love me
Make me smile in the middle of a requiem
Kiss me, tell me that you love me
Make me dance until time takes back from us
What it had given Would you take me to paradise
With you nothing ever dies
You take my smile and make it bright
Before the night erases the light
I won't go below silver skies
The only darkness is in your eyes 
We cry but we still survive
It's the beauty of a requiem Love is born, love dies
Tonight, I'm finally no longer afraid
I know that I will love you again
When the world won't turn anymore Love is born, love dies
Tonight, I'm finally no longer afraid
I know that I will love you again
When the world won't turn anymore Kiss me, tell me that you love me
Make me smile in the middle of a requiem
Kiss me, tell me that you love me
Make me dance until time takes back from us
What it had given Kiss me
Tell me that you love me
Kiss me Kiss me
Tell me that you love me
Kiss me",alma,requiem,0.618,0.669,-5.053,106.426
1499,Cyprus,35,Eleni Foureira,Fuego,English (title Spanish),2,436.0,63,2018,Portugal,Lisbon,"[Verse 1]
Take a dive into my eyes
Yeah, the eyes of a lioness
Feel the power, they ain't lying
A little look, a little touch
You know the power of silence
Yeah keep it up, keep it up

[Pre-Chorus]
I was looking for some high-high-highs, yeah
'Til I got a dose of you
You got me pelican fly-fly-flyin'

[Chorus]
'Cause I'm way up and I ain't comin' down
Keep taking me higher
Ah yeah ah yeah ah yeah, yeah ah yeah ah yeah
'Cause I'm burning up and I ain't coolin' down
Yeah, I got the fire
Ah yeah ah yeah ah yeah, yeah ah yeah ah yeah

[Drop]
Fuego
Fuego
Ah yeah ah yeah ah yeah, yeah ah yeah ah yeah
Fuego

[Verse 2]
Take me in, take a breath
Ain't no hidden agenda
What you see is what you get

[Pre-Chorus]
I was looking for some high-high-highs, yeah
'Til I got a dose of you
You got me pelican fly-fly-flyin'

[Chorus]
'Cause I'm way up and I ain't comin' down
Keep taking me higher
Ah yeah ah yeah ah yeah, yeah ah yeah ah yeah
'Cause I'm burning up and I ain't coolin' down
Yeah, I got the fire
Ah yeah ah yeah ah yeah, yeah ah yeah ah yeah

[Drop]
Fuego
Fuego
Ah yeah ah yeah ah yeah, yeah ah yeah ah yeah
Fuego

[Bridge]
Oh, your love is like wild-wildfire
You got me pelican fly-fly-flyin'

[Chorus]
'Cause I'm way up and I ain't comin' down
Keep taking me higher
Ah yeah ah yeah ah yeah, yeah ah yeah ah yeah
'Cause I'm burning up and I ain't coolin' down
Yeah, I got the fire
Ah yeah ah yeah ah yeah, yeah ah yeah ah yeah

[Drop]
Fuego
Fuego
Ah yeah ah yeah ah yeah, yeah ah yeah ah yeah",English,eleni foureira,fuego,0.586,0.7390000000000001,-4.584,101.033
1514,Sweden,58,Benjamin Ingrosso,Dance You Off,English,7,274.0,63,2018,Portugal,Lisbon,"[Verse 1]
I see that look in your eyes
But I ain't feeling no pressure (Pressure)

[Pre-Chorus]
Feels like I'm stuck here in time
While I've been trying to forget ya (Forget ya)

[Chorus]
Just wanna da-da-dance you off
So don't you da-da-dare wait up
'Cause I just wanna feel the mood
Girl, with anyone but you
And I might now
Yeah, I might now
Just trying to have myself a time (Have myself a time)
So I just don't care if you mind (Don't care if you mind)
'Cause I just wanna feel the mood
Girl, with anyone but you
And I might now
Yeah, I might now

[Verse 2]
Treating you good, we were gold
I dug you like you were treasure (Treasure)
So don't act like I'm the cruel one
When I know you know better (And I know you know better)
And I (And I)
Oh, I used to think that you were worth the best in life
'Cause I loved it, I loved i-i-it

[Pre-Chorus]
Feels like I'm stuck here in time
While I've been trying to forget ya (Forget ya)

[Chorus]
Just wanna da-da-dance you off (Wanna dance you off)
So don't you da-da-dare wait up (Don't you dare wait up)
'Cause I just wanna feel the mood
Girl, with anyone but you
And I might now
Yeah, I might now
Just trying to have myself a time (Have myself a time)
So I just don't care if you mind (Don't care if you mind)
'Cause I just wanna feel the mood
Girl, with anyone but you
And I might now (I might now)
Yeah, I might now (I might)

[Bridge]
(I'm just gonna dance you off the floor)
I'm just gonna dance you off the floor
I used to think that you were worth my every night
I might

[Outro]
(Just wanna da-da-dance you off)
You
(So don't you da-da-dare wait up)
Don't you dare wait up for me now
('Cause I just wanna feel the mood)
Girl, with anyone but you
(And I might now)
I might, I might now
(Just trying to have myself a time)
I'm just gonna have myself a time
(So I just don't care if you mind)
Don't care if you mind
('Cause I just wanna feel the mood)
Girl, with anyone but you
And I might now (I might now)
I might now",English,benjamin ingrosso,dance you off,0.73,0.6920000000000001,-5.432,109.08
1517,Ukraine,15,Mélovin,Under the Ladder,English,17,130.0,63,2018,Portugal,Lisbon,"[Verse 1]
Curtains down, I’m laughing at the trial
Help me to unravel
Tangle of my innocence inside
Faith’s bout to be severed

[Pre-Chorus 1]
Oh oh oh oh, won’t get any better
Oh oh oh oh, walk under the ladder
Shout out just one reason what’s this for

[Chorus]
You can see that whatever the weather
That the wind’s always there, always fair, oh oh oh
And it has always been now or never
The decision has got to be made, oh oh oh
(Oh oh oh, oh oh oh, oh, yeah)
(Oh oh oh, oh oh oh, oh, yeah)

[Verse 2]
Desperate thoughts, your hope calls you a liar
Fear begins to revel
Nothing but your will sets you on fire
Fire lasts forever

[Pre-Chorus 2]
Oh oh oh oh, can’t get any better
Oh oh oh oh, dance under the ladder
If you dare, so what you’re waiting for

[Chorus]
You can see that whatever the weather
That the wind’s always there, always fair, oh oh oh
And it has always been now or never
The decision has got to be made, oh oh oh
(Oh oh oh, oh oh oh, oh, yeah)
(Oh oh oh, oh oh oh, oh, yeah)

[Bridge]
You can see that whatever the weather
That the wind’s always there, always fair, oh oh oh
And it has always been now or never
The decision has got to be made

[Chorus]
You can see that whatever the weather
That the wind’s always there, always fair, oh oh oh
And it has always been now or never
The decision has got to be made

You can see that whatever the weather
That the wind’s always there, always fair, oh oh oh
And it has always been now or never
The decision has got to be made, oh oh oh
(Oh oh oh, oh oh oh, oh, yeah)
(Oh oh oh, oh oh oh, oh, yeah)",English,m lovin,under the ladder,0.573,0.746,-6.272,139.94899999999998
1548,Sweden,59,John Lundvik,Too Late for Love,English,5,334.0,64,2019,Israel,Tel Aviv,"[Verse 1]
Hey, how you been?
I wonder, do you ever think of me?
Say, am I wrong
To wonder if it could be you and me?

[Pre-Chorus]
Is it too late for love? Hmm
Is it too late for love? I wanna know
Is it too late for love? I can't take no more
Is it?

[Chorus]
I could be the sun that lights your dark
Maybe I would lit your world with just one spark
I could make it burn for you and me
If I could be there, I would be there
Hear me
I could be the sun that lights your dark
(Is it too late for love? Is it too late for love?)
Hear me
I could make it burn for you and me

[Verse 2]
Days came and went
But nothing ever really felt the same
You left a space
Where everything reminds me of your face

[Pre-Chorus]
Is it too late for love? Hmm
Is it too late for love? I wanna know

[Chorus]
I could be the sun that lights your dark
Maybe I would lit your world with just one spark
I could make it burn for you and me
If I could be there, I would be there
Hear me
I could be the sun that lights your dark
(Is it too late for love? Is it too late for love?)
Hear me
I could make it burn for you and me
(Is it too late for love? Is it too late for love?)

[Bridge]
We could be a storm that rages on
And maybe we would own the ocean carry on

[Chorus]
I could be the sun that lights your dark
Maybe I would lit your world with just one spark
I could make it burn for you and me
If I could be there, I would be there
Hear me
I could be the sun that lights your dark
(Is it too late for love? Is it too late for love?) Is it too late for love?
But is it too late for love?
Is it?",English,john lundvik,too late for love,0.401,0.746,-4.155,104.252
1646,Armenia,-,Rosa Linn,Snap,English,20,61.0,66,2022,Italy,Turin,"It‘s 4am
I can‘t turn my head off
Wishing these memories would fade
They never do
Turns out people lied
They said just snap your fingers
As if it was really that easy
For me to get over you
I just need time
Snappin‘ 1, 2, where are you?
You‘re still in my heart
Snappin 3, 4, don‘t need you here anymore
Get out of my heart
‘Cause I might snap
I‘m writing a song
Said this is the last one
But how many last songs are left?
I‘m losing count
Since June 22
My heart‘s been on fire
I‘ve been spending my nights
In the rain trying to put it out
So I‘m snappin 1, 2, where are you?
You‘re still in my heart
Snappin 3, 4, don‘t need you here anymore
Get out of my heart
‘Cause I might snap
Oh-oh, Cause I might snap
Oh-oh
And if one more person says you should get over it
Oh I might stop talking to people before I snap, snap, snap
Oh I might stop talking to people before I snap
Snappin 1, 2, where are you? (Where are you?)
You‘re still in my heart (Still in my heart)
Snappin 3, 4, don‘t need you here anymore (Need you here anymore)
Get out of my heart
‘Cause I might snap
Oh-oh, Cause I might snap
Oh-oh (Get out of my heart)
Cause I might snap
Get out of my heart, yeah
Cause I might snap",English,rosa linn,snap,0.565,0.636,-8.198,170.01
1696,Finland,-,Käärijä,Cha Cha Cha,Finnish,2,526.0,67,2023,United Kingdom,Liverpool,"Rankka viikko ja paljon pitkii päiviä takan,
Mielenkiintona piña colada ja rata,
Ilta on vielä nuori ja aikaa kumota,
Tää jäinen ulkokuori on aika tuhota
Pidän kaksin käsin kiinni juomista niinku
Cha cha cha cha cha cha cha, ei
En mieti huomista ku tartun tuopista niinku,
Cha cha cha cha cha cha cha, ei
Haluun olla sekasin ja vapaa huolista niinku
Cha cha cha cha cha cha cha, ei
Ja mä jatkan kunnes en enää pysy tuolissa niinku
Muutama piña colada on jo takana,
Silti mul on vielä naamataulu vakava, yeah yeah ye ye yeh
Ilta on vielä nuori ja aikaa kumota,
Tää jäinen ulkokuori on aika tuhota,
Parketti kutsuu mua ku en oo enää lukossa,
Niinku cha cha cha mä oon tulossa
Pidän kaksin käsin kiinni juomista niinku,
Cha cha cha cha cha cha cha, ei
En mieti huomista ku tartun tuopista niinku,
Cha cha cha cha cha cha cha, ei
Haluun olla sekasin ja vapaa huolista niinku,
Cha cha cha cha cha cha cha, ei
Ja mä jatkan kunnes en enää pysy tuolissa niinku vou,
Nyt lähden tanssimaan niinku cha cha cha cha enkä pelkääkään tätä maailmaa,
Niinku cha cha cha kun mä kaadan päälleni samppanjaa,
Cha cha cha toinen silmä jo karsastaa, ja puhe sammaltaa ku tää toinen puoli must vallan saa,
Cha cha cha en oo arkena tää mies laisinkaan, en oo mut tänään oon se mies, tänään oon se mies
Nyt lähden tanssimaan niinku cha cha cha, enkä pelkääkään tätä maailmaa,
Niinku cha cha cha, kun mä kaadan päälleni samppanjaa,
Niinku cha cha cha
Cha cha cha cha cha cha cha aa-aah
Niinku cha cha cha
Cha cha cha cha cha cha cha
Cha cha cha cha cha cha cha","This exhausting week and the many long days are behind
There’s only bar and piña colada on my mind
There is some time for a few, the night is still youngish
This icy shell is something I have to demolish
Holding on the drinks with both hands tied on them like a
Cha cha cha cha cha cha cha, no
There’s no tomorrow when I grab a pint tightly like a
Cha cha cha cha cha cha cha, no
Wanna mess my head up and to free my mind of fear like a
Cha cha cha cha cha cha cha, no
And I stay on this seat until I have to climb off it like a
A couple piña coladas I have devoured
Yet the expression I have on my face is sour, yeah yeah ye ye yeh
There is some time for a few, the night is still youngish
This icy shell is something I have to demolish
The floor is calling me when I’m no longer so frozen
Like a cha cha cha I am approachin’
Holding on the drinks with both hands tied on them like a
Cha cha cha cha cha cha cha, no
There’s no tomorrow when I grab a pint tightly like a
Cha cha cha cha cha cha cha, no
Wanna mess my head up and to free my mind of fear like a
Cha cha cha cha cha cha cha, no
And I stay on this seat until I have to climb off it like a whoa
I head towards the dance floor
Like a cha cha cha
And this world ain’t making me scared no more
Like a cha cha cha
When Champagne all over myself I pour
Cha cha cha
One eye keeps turning crossed too far
And talking is so hard when this different side of me does its part
Cha cha cha
I don’t usually go and drop my guard, not me
But now I am that guy, now I am that guy
I head towards dance floor
Like a cha cha cha
And this world ain’t making me scared no more
Like a cha cha cha
When Champagne all over myself I pour
Like a cha cha cha
Cha cha cha cha cha cha cha aa-aah
Like a cha cha cha
Cha cha cha cha cha cha cha
Cha cha cha cha cha cha cha",k rij,cha cha cha,0.718,0.791,-5.572,155.082
1710,Norway,-,Alessandra,Queen of Kings,English,5,268.0,67,2023,United Kingdom,Liverpool,"She, queen of the kings, running so fast, beating the wind.
Nothing in this world can stop the spread of her wings
She, queen of the kings, broken her cage, threw out the keys.
She will be the warrior of north and southern seas
Got raven hair, it's dark as night
Icy eyes, out of site, out of site
Her heart in spite, is warm and bright
Her smile awakes the northern light
Looking out, she calls! laidadadilaida!
Who will conquer all?
Her name is
She, queen of the kings, running so fast, beating the wind.
Nothing in this world can stop the spread of her wings
She, queen of the kings, broken her cage, threw out the keys.
She will be the warrior of north and southern seas
A firestone, forged in flames
Wildest card, run the game, run the game
Can't stay the same, in this world of change
Don't fear the pain, just break the chain!
Looking out, she calls! laidadadilaida!
Who will conquer all?
Her name is
She, queen of the kings, running so fast, beating the wind.
Nothing in this world can stop the spread of her wings
She, queen of the kings, broken her cage, threw out the keys.
She will be the warrior of north and southern seas
Dam da da di dam da dam da di dam dam...
Her name is
She, queen of the kings, running so fast, beating the wind.
Nothing in this world can stop the spread of her wings
She, queen of the kings, broken her cage, threw out the keys.
She will be the warrior of north and southern seas",English,alessandra,queen of kings,0.563,0.908,-4.25,125.972
1718,Sweden,-,Loreen,Tattoo,English,1,583.0,67,2023,United Kingdom,Liverpool,"I don't wanna go
But baby we both know
This is not our time
It’s time to say goodbye
Until we meet again
Cause this is not the end
It will come a day
When we will find our way
Violins playing and the angels crying
When the stars align then I’ll be there
No, I don't care about them all
Cause all I want is to be loved
And all I care about is you
You stuck on me like a tattoo
No, I don't care about the pain
I’ll walk through fire and through rain
Just to get closer to you
You stuck on me like a tattoo
I'm letting my hair down
I'm taking it cool
You got my heart in your hand
Don't lose it my friend
It's all that I got
And now violins playing and the angels crying
When the stars align then I’ll be there
No, I don't care about them all
Cause all I want is to be loved
And all I care about is you
You stuck on me like a tattoo
No, I don't care about the pain
I’ll walk through fire and through rain
Just to get closer to you
You stuck on me like a tattoo
Oh, I don't care about them all
Cause all I want is to be loved
And all I care about is you
You stuck on me like a tattoo
I don't care about the pain
I’ll walk through fire and through rain
Just to get closer to you
You stuck on me like a tattoo
All I care about is love
Oh oh oh
All I care about is love
You stuck on me like a tattoo",English,loreen,tattoo,0.545,0.779,-6.235,150.002
