model,params,n_cells,n_ballots,rmse,rmse_awarded_only,precision_at_5,ndcg_at_5,ndcg_at_10,rmse_mean_over_seeds,rmse_std_over_seeds,precision_at_5_mean_over_seeds,precision_at_5_std_over_seeds,ndcg_at_5_mean_over_seeds,ndcg_at_5_std_over_seeds
baseline_global_mean,,2445.0,105.0,3.610622783668483,4.7286731910974025,0.19428571428571428,0.2659426093089731,0.35436808647681073,3.603417430720742,0.0051650897988731554,0.2100920931844606,0.01008466781476656,0.26297901197001433,0.004439500572702594
baseline_voter_mean,,2445.0,105.0,3.6112672821057474,4.736048696042494,0.19428571428571428,0.2659426093089731,0.35436808647681073,3.603947721514507,0.005227048375272319,0.2100920931844606,0.01008466781476656,0.26297901197001433,0.004439500572702594
bias_only_entry_quality,,2445.0,105.0,3.129538421316691,4.104896298081325,0.5085714285714286,0.6173616771386643,0.6636751555126114,3.1379703615575574,0.04295833839261301,0.49949154660248574,0.01366236988259347,0.6059008078665936,0.017898018971984567
neighborhood_cf,"n_neighbors=10, shrinkage=25, min_overlap=30",2445.0,105.0,3.015253914836273,3.893362646198363,0.5352380952380952,0.6631591668497249,0.7039598970248132,3.0029076730315594,0.05055563354933501,0.5410439673723593,0.006241735100104557,0.6578573815745169,0.01673115287196745
implicit_als_hkv,"n_factors=16, reg=20, alpha=1",2445.0,105.0,3.2143474146361757,4.101620160237685,0.540952380952381,0.6570674779027372,0.6966428208879766,3.2107838442105674,0.05570767531794622,0.531137605867023,0.016967441483175996,0.6424489936106285,0.020131652388931172
matrix_factorization_als,"n_factors=4, reg=20",2445.0,105.0,2.991550848207863,3.8966410791429715,0.5276190476190477,0.6505043791130898,0.6995041079795505,2.98754898442733,0.06685162829292092,0.5366128356614308,0.011543489693964461,0.6557490034270628,0.019885847342313644
