window,n_shared,n_fine_clusters,n_coarse_communities,ari,nmi,nesting_purity
full,43,9,3,0.2378528212372398,0.4865250086093151,0.9069767441860465
jury,38,7,3,0.2405947906217965,0.4062573990541126,0.7894736842105263
televote,38,9,3,0.19158477244537736,0.3987331660976299,0.8157894736842105
