k,n_clusters,silhouette,largest_cluster,singletons
2,2,0.14915927103533883,23,0
3,3,0.11484886554848625,17,0
4,4,0.11295373854595239,15,0
5,5,0.12195524065917333,12,0
6,6,0.1521764833819966,12,0
7,7,0.17546459386848962,11,0
8,8,0.18792706084212335,9,0
9,9,0.18430549552035505,7,0
10,10,0.18949823805147936,5,0
11,11,0.18350869610001963,5,1
12,12,0.18717718458874294,5,1
