country,cluster_id
Hungary,1
Romania,1
Spain,1
Armenia,2
Belarus,2
Bulgaria,2
Greece,2
Russia,2
Turkey,2
Albania,3
Cyprus,3
Malta,3
San Marino,3
Austria,4
Belgium,4
France,4
Germany,4
Netherlands,4
Switzerland,4
Australia,5
Denmark,5
Estonia,5
Finland,5
Iceland,5
Norway,5
Sweden,5
United Kingdom,5
Croatia,6
Montenegro,6
Serbia,6
Slovenia,6
Azerbaijan,7
Czech Republic,7
Moldova,7
Poland,7
Ireland,8
Israel,8
Latvia,8
Lithuania,8
Ukraine,8
Georgia,9
Italy,9
Portugal,9
