k,n_clusters,silhouette,largest_cluster,singletons
2,2,0.1667281155092477,26,0
3,3,0.17617109024747787,13,0
4,4,0.14937806390449218,13,0
5,5,0.14945724134776275,12,0
6,6,0.1447562885066531,12,0
7,7,0.16258048347904822,12,0
8,8,0.17114068002382304,9,0
9,9,0.20187462566452888,6,0
10,10,0.1883285791110088,6,1
11,11,0.1929760896142254,6,1
12,12,0.1734573201998061,6,2
