model,n_factors,reg,n_cells,n_ballots,rmse,rmse_awarded_only,precision_at_5,ndcg_at_5,ndcg_at_10,alpha
matrix_factorization_als,4,20.0,1945.0,83.0,3.0562835660732834,4.00368755323496,0.5253012048192771,0.6414352983261098,0.6904593094122051,
matrix_factorization_als,8,20.0,1945.0,83.0,3.0566112445316778,3.9999323334527626,0.49638554216867475,0.6226472902040029,0.6853023965488365,
matrix_factorization_als,16,20.0,1945.0,83.0,3.0664696601178383,4.017789418334191,0.5204819277108435,0.6277601680364938,0.6804178017078298,
matrix_factorization_als,2,20.0,1945.0,83.0,3.0706654597201832,4.036354106475051,0.5036144578313254,0.6277057649918086,0.6817485006195889,
matrix_factorization_als,2,5.0,1945.0,83.0,3.0956123407010745,4.030529171961237,0.4843373493975904,0.6025582693938705,0.6711916514767416,
matrix_factorization_als,16,50.0,1945.0,83.0,3.1028608543308986,4.08586293482172,0.49879518072289153,0.6257166388532112,0.6742614615098472,
matrix_factorization_als,4,50.0,1945.0,83.0,3.1029101621169786,4.085890402252666,0.49879518072289153,0.6257166388532112,0.6742017877888477,
matrix_factorization_als,8,50.0,1945.0,83.0,3.1029558552331777,4.085925574655888,0.49879518072289153,0.6257166388532112,0.6742017877888477,
matrix_factorization_als,2,50.0,1945.0,83.0,3.103392625710102,4.085841508203846,0.49879518072289153,0.6260538319700826,0.6714330571153448,
matrix_factorization_als,2,1.0,1945.0,83.0,3.1315460458329913,4.06061343340674,0.4867469879518073,0.5977120725022121,0.6655113112493871,
matrix_factorization_als,16,100.0,1945.0,83.0,3.141778020796968,4.128889032005081,0.49879518072289164,0.6122359899856049,0.6549684112241553,
matrix_factorization_als,8,100.0,1945.0,83.0,3.1417780207969725,4.128889032005087,0.49879518072289164,0.6122359899856049,0.6549684112241553,
matrix_factorization_als,2,100.0,1945.0,83.0,3.1417780207969734,4.1288890320050875,0.49879518072289164,0.6122359899856049,0.6549684112241553,
matrix_factorization_als,4,100.0,1945.0,83.0,3.141778020796974,4.128889032005088,0.49879518072289164,0.6122359899856049,0.6549684112241553,
matrix_factorization_als,4,5.0,1945.0,83.0,3.152087753919238,4.0550242995203565,0.47469879518072294,0.601336703879329,0.668585123044833,
matrix_factorization_als,4,1.0,1945.0,83.0,3.2488661887903847,4.11497830541413,0.4819277108433736,0.5969863303904025,0.6442717325049749,
matrix_factorization_als,16,5.0,1945.0,83.0,3.3945628577708766,4.287399739274817,0.4506024096385542,0.5477513073904733,0.611549338952866,
matrix_factorization_als,8,5.0,1945.0,83.0,3.4031368581347445,4.277972571140975,0.4626506024096385,0.5728885216180624,0.6139539904037926,
matrix_factorization_als,8,1.0,1945.0,83.0,3.733060430103447,4.499368006599948,0.4240963855421687,0.509324482284735,0.5751312535357664,
matrix_factorization_als,16,1.0,1945.0,83.0,3.8783944007262,4.631968042421192,0.39518072289156625,0.47026298021410134,0.5343276553168497,
implicit_als_hkv,16,20.0,1945.0,83.0,3.2864435285734834,4.360072588396519,0.47951807228915666,0.5922284020548645,0.6533702560834651,1.0
implicit_als_hkv,8,20.0,1945.0,83.0,3.286815304908425,4.360651507415594,0.47951807228915666,0.5926194298972818,0.6535779941057828,1.0
implicit_als_hkv,4,5.0,1945.0,83.0,3.288097915900528,4.250132336680224,0.4843373493975904,0.5767637250459563,0.6474030444857513,0.5
implicit_als_hkv,4,20.0,1945.0,83.0,3.2885487876161656,4.3642698201668395,0.4819277108433735,0.5932136409534342,0.6525056036266956,1.0
implicit_als_hkv,16,20.0,1945.0,83.0,3.305748200066293,4.317207574727481,0.47710843373493966,0.5883729882274743,0.6590701941463991,4.0
implicit_als_hkv,8,20.0,1945.0,83.0,3.30790085544877,4.3027560755282614,0.4867469879518073,0.5866006449254132,0.6564622347522053,4.0
implicit_als_hkv,16,20.0,1945.0,83.0,3.3148094455790895,4.443200717033646,0.4867469879518073,0.5887766024219739,0.6404283665274265,0.5
implicit_als_hkv,8,20.0,1945.0,83.0,3.3150340516549566,4.443394759437606,0.4867469879518073,0.5887766024219739,0.6403974094006867,0.5
implicit_als_hkv,4,20.0,1945.0,83.0,3.3156599658722765,4.444267497317737,0.4867469879518073,0.5887766024219739,0.6401527606385341,0.5
implicit_als_hkv,4,5.0,1945.0,83.0,3.3218575730302695,4.271774901827723,0.47951807228915666,0.5541143751258836,0.6306094022913227,1.0
implicit_als_hkv,16,5.0,1945.0,83.0,3.3274890272402766,4.3941612324292665,0.4457831325301205,0.5343074830711642,0.6188350760986545,0.5
