k,n_clusters,silhouette,largest_cluster,singletons
2,2,0.13171389029605293,24,0
3,3,0.15062615849316818,14,0
4,4,0.14918343112644838,14,0
5,5,0.1841713999556242,10,0
6,6,0.18014644002976654,10,0
7,7,0.1621610230243939,10,0
8,8,0.17916671641165274,10,0
9,9,0.17795239230039456,10,0
10,10,0.18184979357943987,8,0
11,11,0.19335203082806995,6,0
12,12,0.19097782705703298,6,1
