model,reference,metric,model_mean,reference_mean,mean_difference,model_better,t_statistic,p_value,n_ballots
matrix_factorization_als,baseline_voter_mean,ndcg_at_5,0.6505043791130898,0.2659426093089731,0.3845617698041165,True,14.451551743665783,1.278081872730465e-26,105
matrix_factorization_als,baseline_voter_mean,mse,8.934849668853284,13.064816462313612,-4.129966793460329,True,-14.84119871810863,1.9662551305467e-27,105
matrix_factorization_als,bias_only_entry_quality,ndcg_at_5,0.6505043791130898,0.6173616771386643,0.03314270197442544,True,2.3964649345626703,0.01833986554157581,105
matrix_factorization_als,bias_only_entry_quality,mse,8.934849668853284,9.78527896467931,-0.850429295826025,True,-4.872056110209987,3.9690273717612335e-06,105
neighborhood_cf,bias_only_entry_quality,ndcg_at_5,0.6631591668497249,0.6173616771386643,0.0457974897110606,True,3.3062389683495277,0.0012985189071613443,105
neighborhood_cf,bias_only_entry_quality,mse,9.08695875671602,9.78527896467931,-0.6983202079632901,True,-3.6093052712420217,0.00047401131388506094,105
implicit_als_hkv,bias_only_entry_quality,ndcg_at_5,0.6570674779027372,0.6173616771386643,0.03970580076407295,True,4.364927563287112,3.008806207898904e-05,105
implicit_als_hkv,bias_only_entry_quality,mse,10.33062921555733,9.78527896467931,0.5453502508780209,False,4.00688961403754,0.00011582093109259761,105
